place, population, pct_under_18, pct_between_18_64, pct_over 64, male_female_ratio
Los Angeles city;3485398.0;65.3;24.8;10.0;99.6
San Diego city;1110549.0;23.1;66.7;10.2;103.7
San Jose city;782248.0;26.7;66.1;7.2;102.8
San Francisco city;723959.0;16.1;69.3;14.6;99.4
Long Beach city;429433.0;25.5;63.7;10.8;101.0
Oakland city;372242.0;24.9;63.1;12.0;89.2
Sacramento city;369365.0;26.2;61.7;12.1;90.4
Fresno city;354202.0;31.7;58.2;10.1;89.8
Santa Ana city;293742.0;30.5;63.9;5.6;116.8
Anaheim city;266406.0;25.9;65.7;8.4;101.5
Riverside city;226505.0;29.0;62.1;8.9;95.7
Stockton city;210943.0;31.8;57.8;10.5;94.9
Huntington Beach city;181519.0;21.0;70.7;8.3;101.3
Glendale city;180038.0;21.7;65.0;13.3;89.5
Bakersfield city;174820.0;30.8;60.0;9.2;90.6
Fremont city;173339.0;25.8;67.6;6.7;98.7
Modesto city;164730.0;30.2;59.4;10.5;90.1
San Bernardino city;164164.0;31.6;58.4;10.0;94.5
Garden Grove city;143050.0;26.3;65.0;8.7;101.6
Oxnard city;142216.0;30.7;61.6;7.7;105.0
Chula Vista city;135163.0;26.1;62.3;11.7;93.2
Ontario city;133179.0;32.9;60.7;6.4;100.3
Torrance city;133107.0;20.4;67.6;11.9;94.6
Pomona city;131723.0;32.8;60.2;7.0;105.1
Pasadena city;131591.0;22.0;64.8;13.2;92.6
Oceanside city;128398.0;26.2;59.8;14.0;96.3
East Los Angeles CDP;126379.0;33.4;59.0;7.6;98.6
Moreno Valley city;118779.0;36.9;59.1;4.0;96.9
Sunnyvale city;117229.0;19.2;70.4;10.4;101.9
Fullerton city;114144.0;22.6;67.2;10.2;99.5
Santa Rosa city;113313.0;23.8;59.9;16.3;87.3
Hayward city;111498.0;24.8;64.5;10.7;94.4
Concord city;111348.0;24.6;65.9;9.5;94.3
Orange city;110658.0;24.4;66.9;8.7;99.2
Santa Clarita city;110642.0;28.0;65.8;6.3;98.2
Irvine city;110330.0;24.4;69.9;5.8;90.6
Inglewood city;109602.0;30.1;63.1;6.8;90.5
Vallejo city;109199.0;28.0;61.2;10.9;96.5
Salinas city;108777.0;32.1;59.6;8.3;97.7
Escondido city;108635.0;26.5;60.5;13.0;94.3
